VideoObject{watchUrl='https://www.youtube.com/watch?v=jR0ZZ0Vpkcs&pp=ygUHVWtyYWluZQ%3D%3D', img='https://i.ytimg.com/vi/jR0ZZ0Vpkcs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAB_hPB0yOk0F2UXUOoO5ruum0T8w', fileName='Ukrainian soldiers describe storming Russian trenches around Bakhmut'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=pew049VCjzc&pp=ygUHVWtyYWluZQ%3D%3D', img='https://i.ytimg.com/vi/pew049VCjzc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9pmLlTkZ_283p0h-sBh-0u3k9Yw', fileName='Ukrainian Special Forces shoot dead Russian troops in trenches in horrors of war'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=bha2sSlrpFg&pp=ygUHVWtyYWluZQ%3D%3D', img='https://i.ytimg.com/vi/bha2sSlrpFg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCA4Gr1ua31RF2mRAomBOEFvcpkyA', fileName='Ukrainian forces recaptures village in counteroffensive'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=yRL3Nlu9uts&pp=ygUHVWtyYWluZQ%3D%3D', img='https://i.ytimg.com/vi/yRL3Nlu9uts/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAb7mF2KymbTcd710BcDHaq8hVrEQ', fileName='Ukraine troops seen killing Russian soldiers in trenches during counteroffensive'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=3ZzOMvVZbQ4&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukraine War: What do we know about the 'massive' drone attack on Kyiv overnight?'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=oEiI2cDNOnA&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Putin's vulnerabilities revealed by Ukraine's Counter-Offensive | General Sir Richard Barrons'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=-CQSEeSqxRY&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='It's all over in Eastern Ukraine: Russian 4th army abandoned its trenches and began to flee!'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=h-hQMOsZ0J0&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukrainian special forces storm Russian trench on southern front'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=K0bkERXBg2A&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Russian Forces Shocked! US Switchblade 600 Kamikaze Drones Destroy Everything in Ukraine'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=k4Zc0UYRthw&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='More than 80 Russians captured... Ukrainian soldiers advanced 7 km, libareted 8 settlements'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=25jEs-BGdfw&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Russia says Ukraine plans to strike Crimea with HIMARS and Storm Shadow missiles'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=KfIc9tcLKoo&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukraine builds layered air defences as Russia ramps up strikes'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=wN6QTaxisX4&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukrainian soldiers rescue Russian troops left to drown after Kakhovka dam destruction'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=AQO-u5gr7qM&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='War in Ukraine: Germany's old Gepard tanks are shooting down Russian missiles and drones'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=QHwrjTh21TA&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukraine destroys Russian ammunition depots & US-China ‘progress’ | Ukraine The Latest | Podcast'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=wUtyBC-xR50&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='The beginning of Ukrainian offensive: "surprises", obstacles and reasons for optimism, - Ben Hodges'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=IGbv2rQdTCU&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Update from Ukraine | Ukraine took more ground on the south | New tactics works'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=yUhsLsWtmJ8&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukrainian forces bomb Russian targets in the Zaporizhia region'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=P3RdfwJor-U&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukrainian forces claim to have retaken 8th village during counteroffensive l WNT'}
VideoObject{watchUrl='https://www.youtube.com/watch?v=woNxerzrm5U&pp=ygUHVWtyYWluZQ%3D%3D', img='null', fileName='Ukraine says eight villages retaken from Russian forces in two weeks • FRANCE 24 English'}
